GEOID,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,ED_APENR,ED_ATTAIN,ED_COLLEGE,ED_ECENROL,ED_HSGRAD,ED_MATH,ED_READING,ED_SCHPOV,ED_TEACHXP,ED_PRXECE,ED_PRXHQECE,HE_FOOD,HE_GREEN,HE_HEAT,HE_HLTHINS,HE_OZONE,HE_PM25,HE_VACANCY,HE_WALK,HE_SUPRFND,HE_RSEI,SE_POVRATE,SE_PUBLIC,SE_HOME,SE_OCC,SE_MHE,SE_EMPRAT,SE_JOBPROX,SE_SINGLE
36001001802,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,529,0.40684858,30.948725,66.128464,77.900002,66.283379,200.81091,211.02507,46.989643,7.4451871,4.2710133,1.0986123,12.953766,30.6,3.3333333,88.481522,37.475937,8.0066633,3.6489606,12.576901,-0.023281502,6.5192719,13.465988,9.6181726,66.312233,43.722172,53145.0,84.198647,2.7514658,23.452768
36001001802,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,530,0.49353683,40.510719,64.543396,86.599998,66.909966,139.68652,191.44145,44.163731,8.5914793,4.0173626,1.0986123,9.512948,30.6,1.6666666,96.485428,35.494102,8.7124949,7.9716978,12.576901,-13.815511,5.927031,10.150465,9.994874,63.608406,51.136364,62813.0,85.061317,6.0219779,21.323528
36001001901,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,388,0.407103,52.312599,64.22123,0.0,67.128433,225.28908,220.09125,56.001839,5.6261077,4.1902814,1.0986123,3.4931655,50.400002,3.3333333,96.347031,37.628983,8.0476427,10.505836,10.896835,-13.815511,6.6329217,14.196626,0.0,70.173912,46.496437,68862.0,85.45752,9.4065657,18.518518
36001001901,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,477,0.46558383,72.276154,61.716717,56.799999,65.583008,127.83467,131.02341,44.571705,4.2888775,3.9014072,1.0986123,5.7146225,50.400002,1.6666666,96.727272,35.582344,8.677968,3.281378,10.896835,-13.815511,5.818718,8.3236103,3.986429,74.385071,63.23634,86809.0,95.821983,2.4049652,20.164608
36001001902,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,530,0.40096107,50.441177,63.485363,100.0,68.090202,211.05331,214.48019,59.256466,5.346056,4.1776309,1.0986123,5.3885994,43.200001,3.3333333,95.630409,37.633816,8.0364656,2.316294,11.87372,-13.815511,6.6044559,3.5164838,0.0,94.311623,59.400547,77326.0,95.076096,1.1173184,13.063063
36001001902,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,396,0.45361891,47.214405,61.063183,77.599998,65.727036,118.26089,129.7231,44.612427,4.4804921,3.8908057,1.0986123,3.0341761,43.200001,1.6666666,99.106201,35.597992,8.6658382,13.246116,11.87372,-13.815511,5.8174219,8.2040815,4.7526674,97.090202,55.984848,81616.0,81.512604,0.0,20.800001
36001002000,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1281,0.39296043,28.267851,61.284473,16.9,69.028328,210.21628,207.61723,73.188858,10.367079,4.1493106,1.0986123,0.88546991,32.799999,3.3333333,92.836205,37.701832,8.0427589,10.054447,14.566194,-13.815511,6.6824026,22.949186,16.384182,50.726391,37.825829,57628.0,80.76342,2.2052069,55.351681
36001002000,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1167,0.44389802,30.127186,58.338097,32.099998,66.174881,105.26075,116.03299,64.479408,8.3477974,3.8605938,1.0986123,2.351939,32.799999,1.6666666,96.143616,35.652454,8.6438637,9.2377024,14.566194,-13.815511,5.8038135,24.448561,12.494828,45.221348,32.930019,40673.0,77.015503,4.851275,46.067417
36001002100,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,593,0.39704281,28.249258,63.012611,100.0,68.1819,207.06842,191.4894,89.598434,12.350338,4.1530066,1.0986123,3.104182,57.400002,3.3333333,86.161331,37.686619,8.0587139,23.719299,14.911932,-13.815511,6.7713242,22.93578,20.342205,9.505703,37.453465,31476.0,57.010674,4.570528,77.712608
36001002100,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,692,0.46089414,36.543064,59.905853,0.0,67.065529,112.24014,101.18253,57.00415,8.0655098,3.8794353,1.0986123,3.2892456,57.400002,1.6666666,91.165863,35.605656,8.6909885,19.747587,14.911932,-13.815511,5.8445544,26.433823,29.04718,18.686401,39.122486,49541.0,83.519104,0.88439667,27.848101
